Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29782	NOREVEF	Vefsna	07.01.2019 09:45	123.414	7.41	5.21	0.45	0.88	1.8	1	3	47	3	97	1.374								
29782	NOREVEF	Vefsna	07.01.2019 09:45																				6.59
29820	FINETAN	Tanaelva	07.01.2019 10:00	84.621	7.26	7.03	0.48	0.45	1.9	2	6	94	11	170	9.793								
29820	FINETAN	Tanaelva	07.01.2019 10:00																				6.16
29614	VAGEOTR	Otra	07.01.2019 10:12	144.007	6.14	1.51	0.4	<0.5	2.7	<1	3	100	19	180	1.787								
29614	VAGEOTR	Otra	07.01.2019 10:12																				0.865
36225	OSLEALN	Alna	07.01.2019 10:35	0.492	7.78	48.6	2.3	2.68	3	58	67	1150	460	1700	6.793								
36225	OSLEALN	Alna	07.01.2019 10:35																				34.1
29783	ROGEORR	Orreelva	07.01.2019 10:40	9.998	7.67	19.6	13	24.9	9.5	43	130	1300	5	2300	2.106								
29783	ROGEORR	Orreelva	07.01.2019 10:40																				17.2
29844	STRENID	Nidelva	07.01.2019 10:45	162.387	7.16	4.03	2.9	3.23	3.3	3	6	160	6	250	2.314								
30019	AAGEVEG	Veg?dselva	07.01.2019 10:45	14.284	6.3	3.06	0.74	0.8	5.8	2	5	220	28	370	3.364								
29844	STRENID	Nidelva	07.01.2019 10:45																				4.47
30019	AAGEVEG	Veg?dselva	07.01.2019 10:45																				1.71
29822	MROEDRI	Driva	07.01.2019 11:00	127.452	7.03	4.22	0.4	0.77	2.1	2	4	300	<2	370	3.429								
38005	TROEM?2	M?selv	07.01.2019 11:00	81.832	7.51	7.52	0.72	1.5	1.4	<1	5	98	42	290	2.571								
29615	VESENUM	Numedalsl?en	07.01.2019 11:00	86.09	6.88	3.33	4.5	4.93	3	10	14	250	61	380	3.557								
29822	MROEDRI	Driva	07.01.2019 11:00																				4.23
38005	TROEM?2	M?selv	07.01.2019 11:00																				9.92
29615	VESENUM	Numedalsl?en	07.01.2019 11:00																				3.33
29819	FINEPAS	Pasvikelva	07.01.2019 11:03	68.732	7.17	3.45	<0.3	0.47	3	<1	4	42	73	180	5.25								
29819	FINEPAS	Pasvikelva	07.01.2019 11:03																				3.03
29837	ROGEVIK	Vikedalselva	07.01.2019 11:30	8.215	6.43	2.48	0.33	<0.5	1.1	<1	3	220	10	430	0.96								
29837	ROGEVIK	Vikedalselva	07.01.2019 11:30																				1.24
29612	BUSEDRA	Drammenselva	07.01.2019 12:35	309.319	7.03	3.59	0.58	0.75	3.2	<1	4	290	9	380	2.914								
29612	BUSEDRA	Drammenselva	07.01.2019 12:35																				4.17
29821	HOREVOS	Vosso	07.01.2019 12:55	40.109	6.55	1.45	1.3	2.65	1.2	1	7	120	5	380	1.059								
29821	HOREVOS	Vosso	07.01.2019 12:55																				0.804
29779	FINEALT	Altaelva	07.01.2019 13:35	32.979	7.47	7.48	0.76	1.61	2.6	2	5	69	<2	150	5.186								
29779	FINEALT	Altaelva	07.01.2019 13:35																				9.32
29617	?STEGLO	Glomma	07.01.2019 14:50	442.254	7.11	4.89	1.3	1.21	3.7	2	6	420	33	500	3.75								
29617	?STEGLO	Glomma	07.01.2019 14:50																				5.46
29842	SFJENAU	Nausta	07.01.2019 17:50	30.435	6.1	1.74	<0.3	1.04	1.3	<1	3	100	3	150	1.228								
29842	SFJENAU	Nausta	07.01.2019 17:50																				0.603
29778	STREORK	Orkla	09.01.2019 10:00	43.986	7.36	7.58	0.65	0.96	3.9	<1	5	360	4	440	3.3								
29778	STREORK	Orkla	09.01.2019 10:00																				9.72
29832	ROGEBJE	Bjerkreimselva	09.01.2019 16:00	60.183	6.39	3.18	0.42	0.55	1.3	<1	3	380	5	420	1.528								
29832	ROGEBJE	Bjerkreimselva	09.01.2019 16:00																				1.17
29613	TELESKI	Skienselva	14.01.2019 10:00	305.701	6.73	1.94	0.35	0.37	2.4	<1	3	170	8	230	2.207								
29613	TELESKI	Skienselva	14.01.2019 10:00																				1.91
