Station ID	Station Code	Station name	Date	"Alk_4.5
mmol/l"	"ANC
æEkv/L"	Ca	"Cl
mg/L"	DOC	"Farge
mg Pt/l"	"K
mg/L"	KOND	"Mg
mg/L"	"Na
mg/L"	NH4-N	"Nitrogen part
æg/l N"	NO3-N	pH	PO4-P	POC	"Si
mg/l"	SiO2	"SO4
mg/L"	"STS
mg/l"	TOC	TOTN	TOTP	TOTP_P	SPM	Turbiditet	"Ag
æg/L"	As	Cd	"Cd-filt
æg/l"	Cr	Cu	Hg	"Hg-filt
ng/l"	Ni	"Ni-filt
æg/l"	Pb	"Pb-filt
æg/l"	Zn	"Temperatur
C"
40411	AAGEVEG	Veg†rdselva	05.02.2024	0.097	97	1.78	4.9	6.3	48	0.33	3.18	0.47	3.31	26	28.9	140	6.42	2	351	1.65	3.55	1.65	2	6.3	370	7.1	5.3	2.21	1.4	<0.002	0.2	0.043		0.27	0.71	2.18		0.54		0.447		6.6	
40411	AAGEVEG	Veg†rdselva	04.03.2024	0.115	116	1.93	3.17	6.3	50	0.32	2.69	0.37	2.59	37	54.7	150	6.55	4	384	1.4	3.14	1.5	3.9	6.3	400	8.8	8.1	3.45	1.7														
40411	AAGEVEG	Veg†rdselva	02.04.2024	0.103	97	1.77	2.43	6	50	0.26	2.28	0.32	1.94	14	24.3	130	6.46	1	296	1.43	2.99	1.48	1.6	6.2	330	5.7	3.9	1.66	1.2														
40411	AAGEVEG	Veg†rdselva	06.05.2024	0.107	96	1.73	3.01	5.1	38	0.29	2.54	0.35	2.28	15	36.2	110	6.57	2	379	1.16	2.49	1.57	1.7	5.1	290	5.9	4.2	1.94	1.1	<0.002	0.14	0.025		0.19	0.66	1.84		0.39		0.266		4.7	
40411	AAGEVEG	Veg†rdselva	03.06.2024	0.128	117	1.96	3.02	5.7	39	0.34	2.72	0.37	2.34	8	41.1	65	6.76	2	390	0.644	1.34	1.55	1.4	5.7	300	9.2	5.9	2.55	1.3														
40411	AAGEVEG	Veg†rdselva	01.07.2024	0.104	96	1.57	2.59	5.6	38	0.27	2.23	0.33	2.05	14	39.6	53	6.51	2	391	0.897	1.88	1.36	1	5.7	290	8.3	5.4	2.48	1.5														
40411	AAGEVEG	Veg†rdselva	05.08.2024	0.098	96	1.4	2.04	6.1	41	0.24	2.04	0.31	1.82	6	43.7	35	6.54	<1	393	0.906	1.98	1.17	1.4	6.2	330	9.2	4.6	1.84	0.81	<0.002	0.32	0.021		0.19	0.66	1.55		0.47		0.264		5.4	
40411	AAGEVEG	Veg†rdselva	02.09.2024	0.102	117	1.76	2.73	8.6	66	0.3	2.51	0.41	2.22	11	54.3	56	6.45	2	480	1.21	2.68	1.33	2	9	360	9.4	5.6	2.79	1.2														
40411	AAGEVEG	Veg†rdselva	03.10.2024	0.097	104	1.61	2.61	7	55	0.31	2.33	0.39	2.05	17	40.3	80	6.36	1	482	1.22	2.67	1.25	1.4	7.2	350	8	4.6	2.63	1.2	<0.002	0.35	0.03		0.2	1.68	1.97		0.59		0.379		7.4	
40411	AAGEVEG	Veg†rdselva	05.11.2024	0.084	93	1.49	2.59	7.3	56	0.32	2.2	0.36	1.99	27	33.5	96	6.25	1	395	1.46	3.11	1.25	1.5	7.3	370	9	5.9	2.5	0.94														
40411	AAGEVEG	Veg†rdselva	02.12.2024	0.097	97	1.66	3.21	6.9	57	0.37	2.56	0.43	2.32	36	44.4	150	6.26	2	522	1.65	3.48	1.44	1.8	6.8	400	9	6.3	2.62	1.3														
40352	BUSEDRA	Drammenselva	02.01.2024	0.204	214	4.29	1.97	3.3	19	0.47	3.71	0.65	1.56	5	12.6	270	6.96	2	109	1.62	3.31	2.79	1.4	3.4	360	3.4	2.8	3.18	0.64														0.6
40352	BUSEDRA	Drammenselva	05.02.2024	0.261	237	4.69	2.3	3.2	18	0.51	4.11	0.7	1.83	8	31.7	290	7.08	2	159	1.52	3.28	2.96	<1	3.2	410	4.6	3.6	1.23	1	<0.002	0.096	0.007		0.12	0.65	0.802		0.46		0.057		1.8	-0.4
40352	BUSEDRA	Drammenselva	04.03.2024	0.307	289	5.99	3.47	4	28	0.69	5.3	0.83	2.45	3	41.9	530	7.17	15	403	2.13	4.44	3.22	12	4.1	730	23	14	13.3	6.9														0.3
40352	BUSEDRA	Drammenselva	01.04.2024	0.321	303	6.35	3.51	4.7	33	0.65	5.37	0.8	2.4	8	36.9	480	7.14	13	441	2.14	4.77	3.25	13.9	4.8	680	22	16	16.2	7														0.9
40352	BUSEDRA	Drammenselva	06.05.2024	0.25	222	4.42	1.84	4.3	30	0.42	3.72	0.55	1.45	<2	20.9	230	7.09	3	257	1.51	3.28	2.39	2.4	4.3	350	6.3	4.2	2.71	1.2	<0.002	0.08	0.008		0.16	0.76	1.4		0.46		0.107		2.5	7.3
40352	BUSEDRA	Drammenselva	16.05.2024	0.189	168	3.31	1.48	3.5	22	0.41	2.97	0.48	1.25	5	17.9	190	6.92	3	193	1.39	3.12	2.21	4.3	3.5	300	5.7	5.1	3.24	0.68														7.3
40352	BUSEDRA	Drammenselva	28.05.2024	0.213	187	3.57	1.66	3.9	24	0.45	3.2	0.52	1.37	5	36.9	170	7.12	3	291	1.45	3.13	2.23	3.3	4	310	7	6.3	3.56	1														13.3
40352	BUSEDRA	Drammenselva	03.06.2024	0.206	196	3.79	1.65	3.9	25	0.42	3.19	0.5	1.33	7	20.3	170	7.09	4	203	1.44	2.98	2.13	2.2	3.9	320	8.1	6	4.9	1.3														12.8
40352	BUSEDRA	Drammenselva	11.06.2024	0.244	224	4.43	1.94	3.7	23	0.45	3.75	0.59	1.54	4	23	230	7.14	1	206	1.47	3.13	2.53	1.5	3.7	360	5.5	4.9	1.46	0.89														9.2
40352	BUSEDRA	Drammenselva	21.06.2024	0.246	226	4.42	1.67	4.3	28	0.43	3.72	0.56	1.41	6	31	230	7.13	2	257	1.43	3.1	2.36	2.9	4.4	380	8.5	6.7	2.93	0.84														12.2
40352	BUSEDRA	Drammenselva	05.07.2024	0.215	193	3.68	1.49	3.8	23	0.42	3.22	0.53	1.3	10	29.2	170	7.07	1	236	1.31	2.85	2.29	2	3.8	330	5.8	4.8	1.82	0.69														14.2
40352	BUSEDRA	Drammenselva	05.08.2024	0.218	206	3.84	1.47	4.2	26	0.42	3.28	0.56	1.38	12	28.4	160	7.15	1	260	1.35	2.88	2.37	2	4.3	320	7.8	5	2.56	1.6	0.01	0.33	0.007		0.17	0.77	1.12		0.56		0.115		1.8	18.2
40352	BUSEDRA	Drammenselva	02.09.2024	0.201	202	3.88	1.53	4.5	29	0.42	3.32	0.55	1.32	6	27.5	190	7.1	3	206	1.34	2.93	2.33	2	4.5	340	5.7	3.6	1.62	0.97														14.3
40352	BUSEDRA	Drammenselva	07.10.2024	0.195	207	3.9	1.49	4.6	32	0.44	3.24	0.56	1.29	8	23.3	180	6.94	1	206	1.48	3.17	2.22	1.2	4.8	340	6.3	4	1.2	1.1	<0.002	0.18	0.007		0.13	0.7	1.36		0.44		0.062		1.5	10.5
40352	BUSEDRA	Drammenselva	04.11.2024	0.209	220	4.25	1.7	4.2	27	0.5	3.52	0.6	1.44	7	18.5	240	7.03	1	213	1.56	3.32	2.51	2.2	4.2	380	5.1	3.7	1.35	0.94														6
40352	BUSEDRA	Drammenselva	02.12.2024	0.203	212	4.14	1.68	3.9	25	0.49	3.46	0.59	1.42	<2	15.5	250	6.99	1	143	1.58	3.32	2.52	1	4	370	4.9	3	1.3	0.66														3.7
40358	FINEALT	Altaelva	22.01.2024	0.651	596	9.31	1.65	2.9	17	1.1	7.87	2.23	2.18	<2	10.3	63	7.37	2	105	2.75	6.33	5.97	1.5	3	160	4.3	1.6	0.83	0.45														
40358	FINEALT	Altaelva	05.02.2024	0.643	630	9.77	2.13	2.7	14	1.18	8.29	2.39	2.54	<2	11.5	74	7.38	2	142	2.98	5.98	6.21	1.8	2.6	160	4.5	2.1	0.78	<0.3														
40358	FINEALT	Altaelva	04.03.2024	0.685	627	10	2.11	2.7	16	1.17	8.59	2.39	2.42	<2	<7.92	70	7.49	3	87.3	3.05	6.84	6.7	0.8	2.7	180	4	1.6	0.51	<0.3	<0.002	0.13	<0.003	<0.003	0.19	0.41	0.671	0.535	0.22	0.2	0.009	0.006	0.19	
40358	FINEALT	Altaelva	02.04.2024	0.639	677	11	2.75	2.5	15	1.25	9.55	2.57	2.87	<2	11.7	67	7.61	1	94.8	3.16	7.17	7.59	<1	2.5	170	3.4	2.2	0.47	<0.3														
40358	FINEALT	Altaelva	06.05.2024	0.788	784	13.1	3.89	2.6	15	1.45	10.9	2.83	3.51	<2	18.6	60	7.73	2	126	3.06	7.54	8.57	1.2	2.7	160	5.2	3.3	1.01	0.36	<0.002	0.13	<0.003	<0.003	0.2	0.41	0.519	0.448	0.21	0.21	<0.005	0.014	0.15	
40358	FINEALT	Altaelva	03.06.2024	0.36	338	4.93	1.18	4.2	34	0.79	4.37	1.24	1.35	4	37.7	18	7.21	5	328	1.8	4.32	2.62	6.5	4.2	180	14	8.7	6.44	0.99														
40358	FINEALT	Altaelva	01.07.2024	0.479	469	7.09	3.37	3.7	26	0.96	6.56	1.55	2.99	3	21.4	33	7.4	3	169	1.82	3.99	3.35	1.5	3.7	170	7.8	4.2	1.09	<0.3														
40358	FINEALT	Altaelva	05.08.2024	0.524	490	7.38	1.75	3.6	25	0.95	6.57	1.64	2.21	<2	17.8	21	7.68	<1	153	1.84	4.03	3.97	<1	3.7	160	7	2.7	0.72	<0.3	<0.002	0.085	<0.003	<0.003	0.18	0.58	0.851	0.812	0.29	0.23	<0.005	0.007	0.52	
40358	FINEALT	Altaelva	02.09.2024	0.562	598	9.44	3.48	3.3	19	1.17	8.44	2.01	3.2	2	19.3	21	7.73	1	120	1.69	3.58	5.18	1.4	3.2	150	3.5	2.2	<0.65	<0.3														
40358	FINEALT	Altaelva	08.10.2024	0.53	577	9.4	2.2	3.3	18	1.06	7.83	2.04	2.34	<2	14	41	7.64	1	121	2.02	4.3	5.94	<1.1	3.3	170	4.8	2.7	0.7	<0.3	<0.002	0.14	<0.003	<0.003	0.16	0.44	0.529	0.541	0.25	0.24	<0.005	0.006	<0.15	
40358	FINEALT	Altaelva	04.11.2024	0.503	557	8.76	2.05	3.3	19	1.02	7.02	1.94	2.23	<2	18.8	45	7.43	1	137	2.43	4.89	4.89	1.4	3.2	190	5.2	3.1	1	0.49														
40358	FINEALT	Altaelva	02.12.2024	0.652	699	10.9	5.22	2.7	14	1.4	9.99	2.4	4.41	<2	8.44	16	7.45	3	86.9	2.69	5.45	5.86	<1	2.8	200	6	1.8	0.43	<0.3														
40372	FINEPAS	Pasvikelva	01.01.2024	0.221	232	3.01	1.02	3	13	0.38	3.26	1.03	1.52	5	13.8	52	7.03	1	90.8	2.73	6.28	2.24	<0.8	2.9	140	1.9	1.4	<0.4	<0.3														3.1
40372	FINEPAS	Pasvikelva	03.02.2024	0.254	234	2.93	0.98	2.7	12	0.38	3.23	1.07	1.55	<2	8.99	56	6.9	<1	70.6	2.78	6.22	2.21	<1	2.7	130	1.9	1.6	<0.5	<0.3	0.022	0.12	0.003	<0.003	0.12	0.34	<0.3	<0.3	0.51	0.49	0.013	0.01	0.33	0.9
