"","Vassdrag","year","pH","Ca","Turbiditet","SiO2","TOC","POC","DOC","TotP","TotN","NH4","NO3","TON","As","Pb","Cd","Cu","Cr","Ni","Zn","abs_254.nm","abs_285.nm","abs_365.nm","abs_410.nm"
"1","Arendalsvassdraget",2019,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
"2","Arendalsvassdraget",2020,20,19,11,13,20,11,11,13,13,11,13,11,11,11,11,11,11,11,11,3,3,3,3
"3","Arendalsvassdraget",2021,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,11,12,12,12,12,12,12
"4","Arendalsvassdraget",2022,21,21,12,15,21,12,12,15,15,12,15,12,12,12,12,12,12,12,12,12,12,12,12
"5","Arendalsvassdraget",2023,20,20,10,14,20,10,10,14,14,10,14,10,10,10,10,10,10,10,10,10,10,10,10
"6","Audna",2019,18,18,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"7","Audna",2020,19,19,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"8","Audna",2021,18,18,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"9","Audna",2022,18,18,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"10","Audna",2023,19,19,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"11","Ekso",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"12","Ekso",2020,20,20,11,13,20,10,11,13,13,11,13,11,11,11,11,11,11,11,11,4,4,4,4
"13","Ekso",2021,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,11,12,12,12,12,12,12
"14","Ekso",2022,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"15","Ekso",2023,21,21,11,15,21,11,11,15,15,11,15,11,11,11,11,11,11,11,11,11,11,11,11
"16","Espedalselva",2019,35,35,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"17","Espedalselva",2020,27,27,0,8,14,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"18","Espedalselva",2021,19,19,0,9,9,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"19","Espedalselva",2022,37,37,0,15,15,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"20","Espedalselva",2023,39,39,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"21","Frafjordelva",2019,35,35,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"22","Frafjordelva",2020,38,38,0,13,20,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"23","Frafjordelva",2021,39,38,0,16,22,0,0,15,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"24","Frafjordelva",2022,39,39,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"25","Frafjordelva",2023,39,39,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"26","Guddalsvassdraget",2019,34,34,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"27","Guddalsvassdraget",2020,39,39,0,14,21,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"28","Guddalsvassdraget",2021,38,38,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"29","Guddalsvassdraget",2022,38,38,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"30","Guddalsvassdraget",2023,38,38,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"31","J?rpelandselva",2019,16,16,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"32","J?rpelandselva",2020,19,19,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"33","J?rpelandselva",2021,18,18,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"34","J?rpelandselva",2022,20,20,0,14,20,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"35","J?rpelandselva",2023,15,15,0,9,15,0,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"36","Kvina",2019,16,16,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"37","Kvina",2020,15,15,0,10,15,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"38","Kvina",2021,13,13,0,7,13,0,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"39","Kvina",2022,12,12,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"40","Kvina",2023,23,23,0,17,23,0,0,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"41","Lygna",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"42","Lygna",2020,20,19,10,13,20,10,10,13,13,10,13,10,10,10,10,10,10,10,10,3,3,3,3
"43","Lygna",2021,19,19,12,13,19,12,12,13,13,12,13,12,12,12,12,12,10,12,12,11,11,11,12
"44","Lygna",2022,18,18,12,12,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"45","Lygna",2023,19,19,11,14,19,11,11,14,14,11,14,11,11,11,11,11,11,11,11,0,0,0,0
"46","Lyseelva",2019,33,33,0,11,11,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"47","Lyseelva",2020,34,29,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"48","Lyseelva",2021,39,39,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"49","Lyseelva",2022,38,38,0,15,15,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"50","Lyseelva",2023,38,38,0,15,15,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"51","Mandalselva",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"52","Mandalselva",2020,19,19,12,13,19,12,12,13,13,12,13,12,12,12,12,12,12,12,12,4,4,4,4
"53","Mandalselva",2021,17,17,0,11,17,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"54","Mandalselva",2022,18,18,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"55","Mandalselva",2023,20,20,0,14,20,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"56","Modalselva",2019,35,35,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"57","Modalselva",2020,37,31,0,12,19,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"58","Modalselva",2021,35,35,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"59","Modalselva",2022,36,36,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"60","Modalselva",2023,35,35,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"61","Ogna",2019,35,35,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"62","Ogna",2020,30,32,0,11,18,0,0,12,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"63","Ogna",2021,34,34,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"64","Ogna",2022,35,35,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"65","Ogna",2023,37,37,0,14,20,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"66","R?dneelva",2019,34,34,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"67","R?dneelva",2020,34,38,0,12,19,0,0,13,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"68","R?dneelva",2021,19,19,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"69","R?dneelva",2022,20,20,0,14,20,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"70","R?dneelva",2023,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"71","Sokndalselva",2019,18,18,0,12,12,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"72","Sokndalselva",2020,18,18,0,10,17,0,0,12,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"73","Sokndalselva",2021,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"74","Sokndalselva",2022,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"75","Sokndalselva",2023,22,22,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"76","Suldalsl†gen",2019,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
"77","Suldalsl†gen",2020,20,20,12,13,20,12,12,13,13,12,13,12,12,12,12,12,12,12,12,4,4,4,4
