"","Vassdrag","year","pH","Ca","Turbiditet","SiO2","TOC","POC","DOC","TotP","TotN","NH4","NO3","TON","As","Pb","Cd","Cu","Cr","Ni","Zn","Abs_254.nm","Abs_285.nm","Abs_365.nm","Abs_410.nm"
"1","Arendalsvassdraget",2024,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"2","Audna",2024,18,18,0,13,18,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"3","Ekso",2024,19,19,12,16,19,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"4","Espedalselva",2024,39,39,0,16,16,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"5","Frafjordelva",2024,32,32,0,12,18,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"6","Guddalsvassdraget",2024,37,37,0,16,16,0,0,16,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"7","J?rpelandselva",2024,19,19,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"8","Kvina",2024,23,23,0,17,23,0,0,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"9","Lygna",2024,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"10","Lyseelva",2024,38,38,0,15,15,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"11","Mandalselva",2024,17,17,0,11,17,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"12","Modalselva",2024,36,36,0,13,19,0,0,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"13","Ogna",2024,34,34,0,11,17,0,0,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"14","R?dneelva",2024,21,21,0,15,21,0,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"15","Sokndalselva",2024,18,18,0,14,18,0,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"16","Suldalsl†gen",2024,22,22,12,16,22,12,12,16,16,12,16,12,12,12,12,12,12,12,12,12,12,12,12
"17","Tovdalselva",2024,9,9,0,4,9,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"18","Uskedalselva",2024,39,39,0,16,22,0,0,16,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"19","Yndelsdalselva",2024,30,30,0,12,17,0,0,12,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
