L?penr	Vassdrag	Lokalitets-ID	Lokalitet	Dato	pH	Ca	Turbiditet	SiO2	TOC	POC	DOC	TotP	TotN	NH4	NO3	TON	As	Pb	Cd	Cu	Cr	Ni	Zn	Abs_254 nm	Abs_285 nm	Abs_365 nm	Avbs_410 nm
1	Nidelva	019-44498	Nidelva ved Rygene (VK1)	04.02.2019	6.27	1.04	0.35	2.24	3.4	500	3.4	2.5	240	6	140	94	0.14	0.24	0.02	1.9	0.16	1	7.6				
2	Nidelva	019-44498	Nidelva ved Rygene (VK1)	04.03.2019	6.34	1.02	0.35	2.52	4.7	100	4.6	2	290	2	180	108	0.16	0.5	0.05	0.69	0.28	1	5.6				
3	Nidelva	019-44498	Nidelva ved Rygene (VK1)	01.04.2019	6.19	1.21	0.42	2.19	6.8	1200	5.6	3	210	5	180	25	0.22	0.41	0.05	0.77	0.19	1.1	4.7				
4	Nidelva	019-44498	Nidelva ved Rygene (VK1)	15.04.2019	6.11	1.3																					
5	Nidelva	019-44498	Nidelva ved Rygene (VK1)	22.04.2019	6.12	1.42																					
6	Nidelva	019-44498	Nidelva ved Rygene (VK1)	29.04.2019	6.18	1.48																					
7	Nidelva	019-44498	Nidelva ved Rygene (VK1)	06.05.2019	6.43	1.3	1.6	1.90	7.6	1300	6.3	7.5	310	21	150	139	0.16	0.76	0.05	1.1	0.1	1	5.8				
8	Nidelva	019-44498	Nidelva ved Rygene (VK1)	13.05.2019	6.43	1.61																					
9	Nidelva	019-44498	Nidelva ved Rygene (VK1)	20.05.2019	6.18	1.56																					
10	Nidelva	019-44498	Nidelva ved Rygene (VK1)	27.05.2019	6.16	1.46																					
11	Nidelva	019-44498	Nidelva ved Rygene (VK1)	03.06.2019	6.49	1.52	0.86	1.48	8.1	3100	5	2	210	36	80	94	0.16	0.2	0.05	1.1	0.12	1	9.6				
12	Nidelva	019-44498	Nidelva ved Rygene (VK1)	01.07.2019	6.31	1.12	0.93	1.49	5.4	300	5.1	5	290	5	80	205	0.19	0.2	0.023	0.63	0.26	1	6.2				
13	Nidelva	019-44498	Nidelva ved Rygene (VK1)	05.08.2019	6.33	0.93	0.84	1.53	5	700	4.3	3	220	16	60	144	0.16	0.2	0.05	1.1	0.4	1	4.1				
14	Nidelva	019-44498	Nidelva ved Rygene (VK1)	02.09.2019	6.19	1.09	0.61	1.96	7.3	2000	5.3	2	220	11	100	109	0.2	0.31	0.05	0.2	0.37	1	5.5				
15	Nidelva	019-44498	Nidelva ved Rygene (VK1)	30.09.2019	6.27	1.34	1.3	2.50	6.6	1000	5.6	4	320	32	150	138	0.22	0.79	0.059	1.3	0.16	2.7	7.1				
16	Nidelva	019-44498	Nidelva ved Rygene (VK1)	04.11.2019	6.12	1.07	0.88	2.37	4.9	400	4.5	3.5	220	24	130	66	0.2	0.79	0.05	0.84	0.31	1.4	7.4				
17	Nidelva	019-44498	Nidelva ved Rygene (VK1)	02.12.2019	6.22	1.24	0.52	2.64	6	400	5.6	2.5	280	230	130	-80	0.2	0.28	0.045	1.1	0.2	3.4	9.5				
18	Nidelva	019-44498	Nidelva ved Rygene (VK1)	06.01.2020	6.02	0.84	0.54	2.25	4.2	100	4.2	2.5	235	2	140	93	0.13	0.84	0.02	0.84	0.2	1	5.8				
19	Nidelva	019-44498	Nidelva ved Rygene (VK1)	03.02.2020	6.2	1.04	0.42	2.12	4.7	500	4.2	2	235	2	130	103	0.14	0.45	0.041	0.49	0.1	1.1	4.3				
20	Nidelva	019-44498	Nidelva ved Rygene (VK1)	02.03.2020	6.19	1.14	0.86	2.13	4	100	4	2.5	240	71	140	29	0.14	0.44	0.06	1.1	0.16	1	7.8				
21	Nidelva	019-44498	Nidelva ved Rygene (VK1)	05.04.2020	6.28	1.13	0.25	1.77	3.5	200	3.3	2	180	12	100	68	0.11	0.35	0.049	0.54	0.17	2.6	6.5				
22	Nidelva	019-44498	Nidelva ved Rygene (VK1)	20.04.2020	6.54	1.18			3																		
23	Nidelva	019-44498	Nidelva ved Rygene (VK1)	27.04.2020	6.53	1.19			2																		
24	Nidelva	019-44498	Nidelva ved Rygene (VK1)	04.05.2020	6.49	1.1			3.7																		
25	Nidelva	019-44498	Nidelva ved Rygene (VK1)	11.05.2020	6.43	1.13	0.27	1.76	3.1	3200	3.1	2	180	2	110	68	0.12	1.7	0.02	0.51	0.14	1	6.1				
26	Nidelva	019-44498	Nidelva ved Rygene (VK1)	18.05.2020	6.51	1.11			3.2																		
27	Nidelva	019-44498	Nidelva ved Rygene (VK1)	25.05.2020	6.42	1.07			3.8																		
28	Nidelva	019-44498	Nidelva ved Rygene (VK1)	01.06.2020	6.32	0.95			3.6																		
29	Nidelva	019-44498	Nidelva ved Rygene (VK1)	08.06.2020	6.46	0.97	0.76	1.66	4	600	3.4	3	170	11	90	69	0.12	0.36	0.02	1.1	0.11	1	6.3				
30	Nidelva	019-44498	Nidelva ved Rygene (VK1)	06.07.2020	6.44	0.89	1	1.32	4.4	500	4.3	2.5	540	160	80	300	0.22	0.26	0.05	1.9	0.1	1	16.1				
31	Nidelva	019-44498	Nidelva ved Rygene (VK1)	03.08.2020	6.24	1.16	1.4	1.92	5.3	400	4.9	3	240	13	80	147	0.35	0.6	0.04	0.84	0.12	1	8.7				
32	Nidelva	019-44498	Nidelva ved Rygene (VK1)	02.09.2020	6.5	0.84		1.70	3.6			5.3	190		100												
33	Nidelva	019-44498	Nidelva ved Rygene (VK1)	08.09.2020	6.3	0.78	0.54	1.90	4.6	0.4	4.2	2.1	230	14	110	106	0.12	0.13	0.012	0.83	0.055	0.12	2.9	0.129	0.09	0.027	0.012
34	Nidelva	019-44498	Nidelva ved Rygene (VK1)	14.09.2020	6.3				3.7																		
35	Nidelva	019-44498	Nidelva ved Rygene (VK1)	06.10.2020	5.9	1.1	1.6	2.10	6	0.3	5.7	5.3	220	16	120	84	0.17	0.15	0.028	0.74	0.14	0.36	5.4	0.266	0.199	0.068	0.054
36	Nidelva	019-44498	Nidelva ved Rygene (VK1)	13.10.2020	6.2	1		2.00	5.8			6.7	250		140												
37	Nidelva	019-44498	Nidelva ved Rygene (VK1)	02.11.2020	6	1	1.4	2.60	5.4	0	5.4	4.05	250	12	120	118	0.17	0.45	0.027	0.75	0.14	0.21	4.8	0.239	0.174	0.058	0.029
38	Nidelva	019-44498	Nidelva ved Rygene (VK1)	05.01.2021	6.2	1.1	0.51	2.40	4.6	0.1	4.5	2.4	195	18	120	57	0.14	0.3	0.021	0.41	0.092	0.21	4	0.187	0.137	0.046	0.023
39	Nidelva	019-44498	Nidelva ved Rygene (VK1)	12.01.2021	6.3	0.99		2.40	3.9			2.9	190		130												
40	Nidelva	019-44498	Nidelva ved Rygene (VK1)	01.02.2021	6	1.1	0.59	2.40	3.9	0.1	3.8	2.75	200	18	140	42	0.12	0.23	0.018	0.54	0.078	0.2	19	0.165	0.12	0.047	0.029
41	Nidelva	019-44498	Nidelva ved Rygene (VK1)	08.02.2021	6.1	0.93		2.10	3.5			2	200		140												
42	Nidelva	019-44498	Nidelva ved Rygene (VK1)	01.03.2021	6.1	1	0.47	2.40	3.4	0	3.4	2.95	255	19	160	76	0.12	0.2	0.02	0.53	0.085	0.19	3.4	0.111	0.071	0.006	-0.009
43	Nidelva	019-44498	Nidelva ved Rygene (VK1)	06.04.2021	6.2	0.98	0.48	2.10	3.9	0.3	3.8	2.65	185	21	150	14	0.14	0.23	0.022	0.54	0.073	0.17	3.2	0.157	0.117	0.053	0.036
44	Nidelva	019-44498	Nidelva ved Rygene (VK1)	19.04.2021	6.3	1.1			3.7																		
